Ticket,Epic,Title,Status,Depends On,Priority,Description
0001,E001,LM Studio Browser Validation,DONE,-,P0,Validate LLM connectivity from browser
0002,E001,Core Types & Enums,DONE,-,P0,Types aligned with CONTRACTS.md
0003,E001,Storage Interface & LocalStorage,DONE,-,P0,Persistence layer
0004,E001,StateManager Implementation,DONE,0003,P0,In-memory state CRUD
0005,E001,QueueProcessor Implementation,DONE,0004,P0,Single LLM executor
0006,E001,Processor Skeleton & Loop,DONE,0004/0005,P0,Main event loop
0007,E001,Ei_Interface & Event System,DONE,0006,P0,FE event callbacks
0008,E001,Web Frontend Skeleton,DONE,-,P0,Vite + React shell
0009,Backlog,Ollama CORS Investigation,BACKLOG,-,P3,Document other local providers
0010,Backlog,WebAssembly Model Spike,BACKLOG,-,P3,Browser-native models
0011,E002,Response Prompt Builder,PENDING,-,P0,Build conversational response prompts
0012,E002,Port Mock LLM Server,PENDING,-,P0,Port from V0 for testing
0013,E002,Chat UI Component,PENDING,0008,P0,Message display and input
0014,E002,Persona List UI Component,PENDING,0008,P0,Persona selection sidebar
0015,E002,Wire UI to Processor,PENDING,0011/0013/0014,P0,Connect FE to Processor API
0016,E002,First E2E Test,PENDING,0012/0015,P0,Validate send/receive flow
0017,E002,Ei Welcome Message,PENDING,0015,P1,First-run greeting
0020,E003,Heartbeat Check Prompt + Handler,PENDING,0011,P1,Should persona reach out?
0021,E003,Ei Heartbeat Prompt + Handler,PENDING,0020,P1,Ei-specific heartbeat
0022,E003,Persona Generation Prompt + Handler,PENDING,0011,P1,LLM generates persona from description
0023,E003,Persona Descriptions Prompt + Handler,PENDING,0011,P1,Generate short/long descriptions
0024,E003,Persona Trait Extraction,PENDING,0011,P2,Learn traits from user requests
0025,E003,Persona Topic Detection,PENDING,0011,P2,Detect topics persona engages with
0026,E003,Persona Topic Exploration,PENDING,0025,P2,Generate new topics
0027,E003,Ei Validation Prompt + Handler,PENDING,0011,P2,Cross-persona validation
0028,E003,One-Shot Prompt System,PENDING,0011,P2,AI-assist buttons in editors
0030,E004,Vitest Configuration,PENDING,-,P1,Unit test setup
0031,E004,Playwright Configuration,PENDING,0012,P1,E2E test setup
0032,E004,Unit Tests: StateManager,PENDING,0030,P1,State CRUD tests
0033,E004,Unit Tests: QueueProcessor,PENDING,0030,P1,Queue execution tests
0034,E004,Unit Tests: Processor,PENDING,0030,P1,Loop and handler tests
0035,E004,E2E: Persona Switching,PENDING,0016,P1,Switch between personas
0036,E004,E2E: Checkpoint Save/Restore,PENDING,0016,P2,Save and restore state
0037,E004,E2E: Message Flow Complete,PENDING,0016,P2,Full send/receive/extraction
0040,E005,Layout Manager,PENDING,0013/0014,P1,3-panel responsive layout
0041,E005,Persona Status Indicators,PENDING,0014,P1,Thinking/ready/unread badges
0042,E005,Persona Hover Controls,PENDING,0041,P1,Pause/edit/archive/delete
0043,E005,Markdown Rendering,PENDING,0013,P1,Bold/italic/code/headers
0044,E005,Message States,PENDING,0043,P1,Pending/read visual states
0045,E005,Input Box Auto-resize,PENDING,0013,P2,Grow to 33% max
0046,E005,Pending Message Recall,PENDING,0045,P2,Up arrow pulls back pending
0047,E005,Keyboard Navigation,PENDING,0040,P2,Ctrl+H/L/etc navigation
0048,E005,System Pause Button,PENDING,0040,P2,Global processor pause
0049,E005,Save UI,PENDING,0040,P2,Checkpoint management
0050,E005,Help Modal,PENDING,0040,P2,Help and documentation
0060,E006,Human Fact Scan,PENDING,0011,P2,Step 1 fact detection
0061,E006,Human Trait Scan,PENDING,0011,P2,Step 1 trait detection
0062,E006,Human Topic Scan,PENDING,0011,P2,Step 1 topic detection
0063,E006,Human Person Scan,PENDING,0011,P2,Step 1 person detection
0064,E006,Human Item Match,PENDING,0060-0063,P2,Step 2 matching
0065,E006,Human Item Update,PENDING,0064,P2,Step 3 updates
0066,E006,Extraction Frequency Throttling,PENDING,0065,P2,Ei-only scaling extraction
0067,E006,Cross-Persona Validation Queue,PENDING,0027,P2,Queue global changes for Ei
0070,E007,Ceremony Orchestrator,PENDING,0065,P2,Nightly batch scheduler
0071,E007,Exposure Phase,PENDING,0070,P2,Run extraction pipeline
0072,E007,Decay Phase,PENDING,0070,P2,Logarithmic exposure decay
0073,E007,Expire Phase,PENDING,0072,P2,Remove low-interest topics
0074,E007,Explore Phase,PENDING,0073,P2,Generate new topics
0075,E007,Human Ceremony,PENDING,0072,P2,Decay + Ei prompt
0076,E007,Description Regeneration,PENDING,0074,P2,Update descriptions on trait change
0080,E008,Entity Editor Modal Shell,PENDING,0040,P2,Tabbed modal framework
0081,E008,Human Settings Tab,PENDING,0080,P2,Auto-save/model/queue settings
0082,E008,Human Facts Tab,PENDING,0080,P2,CRUD for facts
0083,E008,Human Traits Tab,PENDING,0080,P2,CRUD for traits
0084,E008,Human Topics Tab,PENDING,0080,P2,CRUD for topics
0085,E008,Human People Tab,PENDING,0080,P2,CRUD for people
0086,E008,Persona Editor Modal,PENDING,0080,P2,Settings/Identity/Topics/Context tabs
0087,E008,Persona Creator Modal,PENDING,0086,P2,Name/description/AI-assist
0088,E008,Context Window UI,PENDING,0086,P2,Message-level context_status
0089,E008,Archived Personas UI,PENDING,0042,P2,View and restore archived
0090,E009,Onboarding Flow,PENDING,0087,P3,LLM provider setup wizard
0091,E009,Dynamic vs Static Personas,PENDING,0086/0070,P3,Toggle Ceremony participation
0092,E009,Persona Image Generation,PENDING,0087,P3,AI-generated avatars
0093,E009,Rich Text Editor,PENDING,0080,P3,Markdown + WYSIWYG toggle
0094,E009,Name Color Customization,PENDING,0081,P3,User color preferences
0095,E009,Time Display Modes,PENDING,0081,P3,12h/24h/local/UTC
0096,E009,Settings Sync,PENDING,0081,P3,flare576.com encrypted sync
0097,E009,LLM Streaming Support,PENDING,0011,P3,Stream responses
